"도서관 일련번호","도서관명","구 코드","구명","주소","전화번호","홈페이지 URL","운영시간","정기 휴관일","도서관 구분","도서관 구분명","위도","경도"
"74","하상시각장애인도서관","0008","강남구","서울특별시 강남구 개포로 613 하상장애인복지회관","02-451-6000","http://onsori.or.kr","평일 : 09:00~18:00, 주말 : 09:00~18:00","일요일, 공휴일","0003","장애인도서관","37.4925535854819","127.075131653464"
"76","한국시각장애인복지재단점자도서관[이동도서관]","0010","강동구","서울특별시 강동구 구천면로 645 한국시각장애인복지관","02-440-5201","http://www.hsb.or.kr","평일 : 09:00~18:00, 주말 : 휴관일","토, 일요일 및 법정공휴일","0003","장애인도서관","37.5511122718085","127.169246436226"
"77","한국점자도서관","0010","강동구","서울특별시 강동구 상암로4가길 32 암사2동새마을문고","02-3426-7411~4","http://infor.kbll.or.kr","평일 : 09:00~18:00, 주말 : 휴관일","토, 일요일 및 법정공휴일","0003","장애인도서관","37.5507339924066","127.124858314859"
"71","강서점자도서관","0001","강서구","서울특별시 강서구 공항대로 206   801~803호","02-2661-2278,2291","http://www.ksbl.or.kr/","평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일","0003","장애인도서관","37.5588934901654","126.830272839065"
"73","실로암점자도서관","0005","관악구","서울특별시 관악구 남부순환로 1717","02-880-0500","http://www.silwel.or.kr","평일 : 09:00~18:00, 주말 : 휴관일","매주 토,일요일","0003","장애인도서관","37.4829413812848","126.941101848579"
"70","서울점자도서관","0022","노원구","서울특별시 노원구 동일로 1335","02-935-9696","http://www.kbuwel.or.kr/","평일 : 09:00~18:00, 주말 : 휴관일","매주 토.일","0003","장애인도서관","37.6479984188148","127.062272983643"
"870","영광시각장애인모바일점자도서관","0014","서대문구","서울특별시 서대문구 세검정로 78-19, 2층","02-393-4568","http://ygculture.com/","평일 : 24시간운영, 주말 : 24시간운영","없음","0003","장애인도서관","37.5951873274835","126.949024537158"
"2490","IT로 열린도서관","0007","서초구","서울특별시 서초구 방배로 36, 이삭빌딩 301호","02-3471-3434","http://www.itlo.org/","평일 : 09:00~18:00","토,일,공휴일","0003","장애인도서관","37.4781138583437","127.000159183738"
"871","성북점자도서관","0019","성북구","서울특별시 성북구 동소문로25가길 20","02) 923-4555 (내선 222, 223)","sorym.org","평일 : 09:00~18:00, 주말 : 휴관일","주말 및 국정공휴일","0003","장애인도서관","37.5953939056075","127.019230727688"
"873","한국학생점자도서관","0017","종로구","서울특별시 종로구 자하문로 131-1","02-880-0610","http://dream.nl.go.kr/hosting/311091/index.do","평일 : 09:00~18:00, 주말 : 휴관일","토,일,공휴일","0003","장애인도서관","37.5874428744223","126.969097473101"